"AcceptingNewPatients","Accessibility","AccountID","AccountName","ActiveMHDesignation","ActiveRSSOLicense","ActiveSUDLicense","AddressOneLine","CommunityMentalHealthCenter","CommunityMentalHealthClinic","DUIDWI","DisplayName","Fees","HideAddress","HoursofOperationFriday","HoursofOperationMonday","HoursofOperationSaturday","HoursofOperationSunday","HoursofOperationThursday","HoursofOperationTuesday","HoursofOperationWednesday","LanguagesSpoken","MentalHealthSettings","OffersTelehealth","OpioidTreatmentPrograms","Phone","PopulationServed","ProviderDirectoryFormModifiedDate","ProviderLocationDisplayLabel","RSSOServicesProvided","SubstanceUseServices","TelehealthRestrictions","Website","lat","lon"
"","Wheelchair","0016100001PICNnAAP","Shiloh Family Resource Pavilion - Easter","1","0","0","9700 E. Easter Ave, Centennial, Colorado 80128","0","0","0","Shiloh House - Centennial","Medicaid; Self Pay","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","English","Residential Child Care Facility","","0","(303) 932-9599","Youth","6/28/2022 8:41 AM","9700 E. Easter Ave_BR_ENCODED_Centennial, Colorado 80128","","","","shilohhouse.org","39.5873663","-104.8762731"
"","Wheelchair","0016100001HA3ogAAD","Shiloh Center for Youth-Sanctuary","1","0","0","8461 Delaware Street, Thornton, CO 80221","0","0","0","Shiloh House - Thornton","Medicaid","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","English","Residential Long Term Treatment; Residential Short Term Treatment; Residential Child Care Facility","","0","(303) 932-9599","Youth","6/28/2022 8:41 AM","8461 Delaware Street_BR_ENCODED_Thornton, CO 80221","","","","shilohhouse.org","39.850112","-104.9922817"
"","","0016100001HA3iWAAT","Shiloh House - Yarrow","1","0","0","7227 South Yarrow Court, Littleton, CO 80128","0","0","0","Shiloh House - Littleton (Yarrow Ct)","Medicaid; Self Pay","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","English","Residential Long Term Treatment; Residential Short Term Treatment; Residential Child Care Facility","","0","(303) 932-9599","Youth","6/28/2022 8:44 AM","7227 South Yarrow Court_BR_ENCODED_Littleton, CO 80128","","","","shilohhouse.org","39.5863926","-105.0856766"
"","","0016100001HA3rVAAT","Cornell Corrections of California, LLC","1","0","0","700 Four Mile Parkway, Cañon City, Colorado 81212","0","0","0","Southern Peaks Regional Treatment Center","","0","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","12:00AM - 12:00AM","","Residential Long Term Treatment; Residential Short Term Treatment; Psychiatric Residential; Residential Child Care Facility","","0","(719) 276-7500","","11/29/2022 2:27 PM","700 Four Mile Parkway_BR_ENCODED_Cañon City, Colorado 81212","","Outpatient; General Treatment; Youth Treatment; Clinically Managed Low Intensity Residential Services","","https://abraxasyfs.org/","38.4572874","-105.1589048"
"","Wheelchair","0016100001HA3hcAAD","Tennyson Center for Children - Tennyson Street","1","0","0","2950 Tennyson Street, Denver, CO 80212","0","1","0","Tennyson Center for Children","Medicaid; Private Insurance","0","7:30AM - 5:00PM","7:30AM - 5:00PM","","","7:30AM - 5:00PM","7:30AM - 5:00PM","7:30AM - 5:00PM","English","Residential Long Term Treatment; Residential Short Term Treatment; Residential Child Care Facility","","0","(303) 433-2541","Youth; Minors/Adolescents","11/29/2022 2:07 PM","2950 Tennyson Street_BR_ENCODED_Denver, CO 80212","","","","www.tennysoncenter.org","39.7594603","-105.0434585"
"","Wheelchair","0016100001HA3eZAAT","Asian Pacific Center for Human Development - Alton","1","0","0","1537 Alton St, Aurora, CO 80010","0","1","0","Asian Pacific Center for Human Development","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","8:30AM - 5:30PM","8:30AM - 5:30PM","","","8:30AM - 5:30PM","8:30AM - 5:30PM","8:30AM - 5:30PM","English; Cantonese; Mandarin; Cambodian; Mongolian; Vietnamese","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(303) 923-2920","Men; Older Adults; Women; Youth; Minors/Adolescents; Clients referred from Court/Judicial System","","1537 Alton St_BR_ENCODED_Aurora, CO 80010","","","","www.apdc.org","39.74124","-104.8824506"
"","","0016100001HA3eYAAT","CHARG Resource Center - 12th Ave.","1","0","0","709 East 12th Avenue, Denver, CO 80203-2610","0","1","0","CHARG Resource Center","","0","9:00AM - 5:00PM","9:00AM - 5:00PM","","","9:00AM - 5:00PM","9:00AM - 5:00PM","9:00AM - 5:00PM","","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(303) 830-8805","","7/15/2022 10:45 AM","709 East 12th Avenue_BR_ENCODED_Denver, CO 80203-2610","","","","https://heartlandmentalhealth.org/","39.7353137","-104.978292"
"","","0016100001HA3ySAAT","Four Feathers Counseling - Bijou","1","0","0","332 W Bijou St Suite 103, Colorado Springs, CO 80905","0","1","0","Four Feathers Counseling","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","","","","","","","","English","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(855) 332-4436","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Youth; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","","332 W Bijou St Suite 103_BR_ENCODED_Colorado Springs, CO 80905","","","","www.fourfeatherscounseling.com","38.8372351","-104.8322831"
"","Visually Impaired; Wheelchair","0016100001HA3mlAAD","Beverly Hawpe Inc-Tejon","0","0","1","724 N Tejon Street, Colorado Springs, CO 80903","0","0","1","Beverly Hawpe Inc","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","8:30AM - 5:30PM","8:30AM - 5:30PM","","","8:30AM - 5:30PM","8:30AM - 5:30PM","8:30AM - 5:30PM","English","","","0","(719) 227-7745","Homeless; LGBTQIA+; Men; Pregnant Person; Women; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","6/1/2022 1:40 PM","724 N Tejon Street_BR_ENCODED_Colorado Springs, CO 80903","","Outpatient; Intensive Outpatient; General Treatment; Youth Treatment","","beverlyhawpeassociates.com","38.8446876","-104.823323"
"","Wheelchair","0016100001HA3mkAAD","Recovery Systems PC - Circle Drive","0","0","1","839 S. Circle Drive, Colorado Springs, CO 80910","0","0","1","Recovery Systems","Medicaid; Self Pay; Sliding Fee Scale","0","","9:00AM - 5:00PM","","","9:00AM - 5:00PM","9:00AM - 5:00PM","9:00AM - 5:00PM","English","","","0","(719) 578-5433","HIV; LGBTQIA+; Men; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian","6/3/2022 12:16 PM","839 S. Circle Drive_BR_ENCODED_Colorado Springs, CO 80910","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Gender Responsive Treatment for Women; Day Treatment (Partial Hospitalization); Level II Four Plus","","recovery-systems.org","38.8188481","-104.7800579"
"","","0016100001HA3yTAAT","Families Plus - Grand","1","0","0","115 Grand Ave, Delta, CO 81416","0","1","0","Families Plus","","0","8:00AM - 4:00PM","8:00AM - 5:00PM","","","8:00AM - 5:00PM","8:00AM - 5:00PM","8:00AM - 5:00PM","English","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(970) 874-0464","Homeless; LGBTQIA+; Men; Older Adults; Pregnant Person; Women; Youth; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","","115 Grand Ave_BR_ENCODED_Delta, CO 81416","","","","familiespluscolorado.org","38.7453071","-108.0684105"
"","","0016100001HA3nSAAT","Solace Counseling Services - Jewell","0","0","1","6655 West Jewell Avenue, #100, Lakewood, CO 80232","0","0","1","Solace Counseling Services","","0","12:00PM - 8:00PM","10:00AM - 7:30PM","9:00AM - 2:00PM","","10:00AM - 8:00PM","10:00AM - 8:00PM","","English","","","0","(303) 975-1922","HIV; LGBTQIA+; Men; Older Adults; Women; Offender","6/27/2022 2:11 PM","6655 West Jewell Avenue, #100_BR_ENCODED_Lakewood, CO 80232","","Outpatient; Intensive Outpatient; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System","","solacecounseling.com","39.6826916","-105.0715418"
"","","0016100001HA3swAAD","El Paso County Sheriff's Office - Las Vegas","0","0","1","2739 E Las Vegas Street, Colorado Springs, CO 80906","0","0","1","El Paso County Sheriff's Office Reintegration and Recovery Program","","0","","5:30PM - 7:30PM","","","","","","English","","","0","(719) 390-2129","Offender","11/15/2022 6:11 AM","2739 E Las Vegas Street_BR_ENCODED_Colorado Springs, CO 80906","","Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System","","https://www.epcsheriffsoffice.com/sections-detention-bureau/detention-support-division/jail-based-behavioral-health-jbbs","38.7878258","-104.7790951"
"","","0016100001HA3gHAAT","The Counseling Place Inc. - Big Thompson","0","0","1","517 Big Thompson Ave, Suite 120, Estes Park, CO 80517","0","0","1","The Counseling Place","Self Pay; Sliding Fee Scale","0","","11:00AM - 6:30PM","","","","11:00AM - 6:30PM","11:00AM - 6:30PM","English","","","0","(970) 586-6400","Clients referred from Court/Judicial System","9/26/2022 10:25 AM","517 Big Thompson Ave, Suite 120_BR_ENCODED_Estes Park, CO 80517","","Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Level II Four Plus","","","40.3793817","-105.5162529"
"","Deaf/Hard of Hearing","0016100001HA43IAAT","Strides LLC - Paris","0","0","1","1339 S Paris Ct, Aurora, Colorado 80012","0","0","1","Strides LLC","Self Pay; Sliding Fee Scale","0","4:00PM - 8:00PM","4:00PM - 8:00PM","9:00AM - 1:00PM","","4:00PM - 8:00PM","4:00PM - 8:00PM","4:00PM - 8:00PM","English","","","0","(303) 337-4114","Minors/Adolescents","7/19/2022 9:49 AM","1339 S Paris Ct_BR_ENCODED_Aurora, Colorado 80012","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Level II Four Plus","","https://www.strides-llc.com/","39.6923161","-104.8490646"
"","Wheelchair","0016100001HA3o8AAD","Key to Life Counseling Center LLC - 4th Ave","0","0","1","14241 EAST 4TH AVE Building 5 Suite 310, 5-334, AURORA, Colorado 80011","0","0","1","Key to Life Counseling Center, LLC","Medicaid; Private Insurance; Self Pay; Sliding Fee Scale","0","10:00AM - 4:00PM","9:00AM - 5:00PM","10:00AM - 1:00PM","","9:00AM - 5:00PM","9:00AM - 5:00PM","9:00AM - 5:00PM","English; Spanish","","","0","(720) 327-8821","HIV; LGBTQIA+; Men; Military; Older Adults; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","6/2/2022 12:18 PM","14241 EAST 4TH AVE Building 5 Suite 310, 5-334_BR_ENCODED_AURORA, Colorado 80011","","Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Gender Responsive Treatment for Women; Level II Four Plus","","www.akeytolifecounseling.org","39.7542465","-104.7871004"
"","","0016100001HA3w0AAD","Continuum Recovery of Colorado - Hampden","0","0","1","9725 E. Hampden Ave, Suite 308, Denver, CO 80231","0","0","1","Continuum Recovery of Colorado","Medicaid; Private Insurance; Self Pay","0","9:30AM - 1:30PM","9:30AM - 5:30PM","","","9:30AM - 5:30PM","9:30AM - 5:30PM","9:30AM - 5:30PM","English","","","0","(303) 339-0420","","6/1/2022 3:29 PM","9725 E. Hampden Ave, Suite 308_BR_ENCODED_Denver, CO 80231","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Youth Treatment; Day Treatment (Partial Hospitalization); Level II Four Plus","","https://continuumrecoveryofcolorado.com","39.6539639","-104.8749245"
"","","0016100001HA4CwAAL","Crossroads Turning Points- Monte Vista","1","0","1","739 1st Avenue, Monte Vista, Colorado 81144","0","1","1","Crossroads' Turning Points, Inc. - Monte Vista - OP","","0","","","","","","","","","Outpatient; Day Treatment; Community Mental Health Clinic","","0","7195443150","","7/15/2022 12:24 PM","739 1st Avenue_BR_ENCODED_Monte Vista, Colorado 81144","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment","","https://www.crossroadstp.org/","37.580821","-106.1484263"
"","","0016100001HA4CxAAL","Crossroads Turning Points, Inc.- Alamosa - Lava Ln","1","0","1","2265 Lava Ln, Alamosa, Colorado 81101","0","1","1","Crossroads Turning Points - Alamosa","","0","","","","","","","","","Outpatient; Day Treatment; Community Mental Health Clinic","","1","719-544-3150","","7/15/2022 12:24 PM","2265 Lava Ln_BR_ENCODED_Alamosa, Colorado 81101","","Opioid Treatment Programs; Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Clinically Managed Residential Detoxification; Medication Assisted Therapy","","https://www.crossroadstp.org/","37.4484074","-105.8696269"
"","","0016100001HA4BYAA1","Crossroads' Turning Points, Inc. - Bonforte Blvd.","1","0","1","1615 Bonforte Blvd, Pueblo, CO 81001","0","1","1","Crossroads' Turning Points, Inc. - Co-Occurring Outpatient","","0","8:00AM - 5:00PM","8:00AM - 5:00PM","","","8:00AM - 7:00PM","8:00AM - 5:00PM","8:00AM - 5:00PM","","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(719) 544-3150","","7/15/2022 12:26 PM","1615 Bonforte Blvd_BR_ENCODED_Pueblo, CO 81001","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment","","https://www.crossroadstp.org/","38.2931695","-104.591886"
"","","0016100001HA4DQAA1","Crossroads' Turning Points, Inc.- 13th St","1","0","1","509 E 13th Street, Pueblo, CO 81001","0","1","1","Crossroads Turning Points - Pueblo","","0","6:30AM - 5:00PM","6:30AM - 5:00PM","8:30AM - 2:00PM","","6:30AM - 7:00PM","6:30AM - 7:00PM","6:30AM - 7:00PM","","Outpatient; Day Treatment; Community Mental Health Clinic","","1","(719)544-3150","","11/29/2022 2:41 PM","509 E 13th Street_BR_ENCODED_Pueblo, CO 81001","","Opioid Treatment Programs; Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Clinically Managed Low Intensity Residential Services; Clinically Managed Residential Detoxification; Medically Monitored Intensive Residential Treatment; Medication Assisted Therapy","","crossroadstp.org","38.2794425","-104.5968269"
"","","0016100001HA4R4AAL","Crossroads' Turning Points, Inc. - Russell Ave.","1","0","1","615 Russell Ave, Walsenburg, CO 81089","0","1","1","Crossroads' Turning Points, Inc. - Walsenburg - OP","","0","8:00AM - 5:30PM","8:00AM - 5:30PM","","","8:00AM - 5:30PM","8:00AM - 5:30PM","8:00AM - 5:30PM","","Outpatient; Day Treatment; Community Mental Health Clinic","","0","7195443150","","7/15/2022 12:45 PM","615 Russell Ave_BR_ENCODED_Walsenburg, CO 81089","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System","","https://www.crossroadstp.org/","37.6233686","-104.779123"
"","","0016100001HA4RMAA1","Crossroads' Turning Points, Inc. - Colo Spgs Maxwell","1","0","1","1026 Maxwell Street, Colorado Springs, CO 80906","0","1","1","Crossroads' Turning Points, Inc. - Colorado Springs","","0","8:00AM - 5:00PM","8:00AM - 5:00PM","","","8:00AM - 5:00PM","8:00AM - 5:00PM","8:00AM - 5:00PM","","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(719) 546-6666","","7/15/2022 12:46 PM","1026 Maxwell Street_BR_ENCODED_Colorado Springs, CO 80906","","Clinically Managed Residential Detoxification","","https://www.crossroadstp.org/","38.7745813","-104.7811104"
"","Wheelchair","0016100001HA4DNAA1","Crossroads Turning Points, Inc- Lamar: 3501 S Main","1","0","1","3501 South Main Street, Lamar, Colorado 81052","0","1","1","Crossroads Turning Points - Lamar","Medicaid; Self Pay; Sliding Fee Scale","0","6:00AM - 3:00PM","6:00AM - 3:00PM","6:00AM - 9:00AM","","6:00AM - 3:00PM","6:00AM - 3:00PM","6:00AM - 3:00PM","English","Outpatient; Day Treatment; Community Mental Health Clinic","","1","7195443150","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian","6/13/2022 12:00 PM","3501 South Main Street_BR_ENCODED_Lamar, Colorado 81052","","Opioid Treatment Programs; Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Day Treatment (Partial Hospitalization)","","www.crossroadstp.org","38.0539672","-102.615656"
"","","0016100001IkEb4AAF","Crossroads Turning Points, Inc.- Trinidad: Carbon Pl","1","0","1","1004 Carbon Place, Trinidad, Colorado 81082","0","1","1","Crossroads' Turning Points, Inc. - Trinidad-Carbon Place - OP/WM","","0","8:00AM - 5:00PM","8:00AM - 5:00PM","8:00AM - 12:00PM","","8:00AM - 6:30PM","8:00AM - 7:00PM","8:00AM - 7:00PM","","Outpatient; Day Treatment; Community Mental Health Clinic","","0","719-544-3150","","7/15/2022 12:47 PM","1004 Carbon Place_BR_ENCODED_Trinidad, Colorado 81082","","Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Clinically Managed Residential Detoxification","","https://www.crossroadstp.org/","37.1633556","-104.5102761"
"","","0014M000026ryluQAA","Crossroads' Turning Points, Inc.-3470 Baltimore Ave","1","0","1","3470 Baltimore Avenue, Pueblo, CO 81008","0","1","0","Crossroads' Turning Points, Inc. - STARTC","","0","8:00AM - 5:00PM","8:00AM - 5:00PM","","","8:00AM - 5:00PM","8:00AM - 5:00PM","8:00AM - 5:00PM","","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(719) 544-3150","","7/15/2022 12:48 PM","3470 Baltimore Avenue_BR_ENCODED_Pueblo, CO 81008","","General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Gender Responsive Treatment for Women; Medically Monitored Intensive Residential Treatment","","https://www.crossroadstp.org/","38.3070458","-104.6350532"
"","Wheelchair","0014M000026rylBQAQ","Crossroads' Turning Points, Inc.- 3500 Baltimore Ave","1","0","1","3500 Baltimore Avenue, Pueblo, CO 81008","0","1","0","Crossroads' Turning Points, Inc. - WIRT/TRT","Medicaid; Self Pay; Sliding Fee Scale","0","8:00AM - 5:00PM","8:00AM - 5:00PM","","","8:00AM - 5:00PM","8:00AM - 5:00PM","8:00AM - 5:00PM","English; Spanish","Outpatient; Day Treatment; Community Mental Health Clinic","","0","719-544-3150","HIV; Homeless; LGBTQIA+; Military; Older Adults; Pregnant Person; Women; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian","11/29/2022 2:37 PM","3500 Baltimore Avenue_BR_ENCODED_Pueblo, CO 81008","","General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Gender Responsive Treatment for Women; Clinically Managed High Intensity Residential Services","","www.crossroadstp.org","38.3071959","-104.6345067"
"","Wheelchair","0016100001ThC5fAAF","Crossroads' Turning Points, Inc. - (CIRCLE) Pueblo East Evans","1","0","1","1711 E. Evans, Pueblo, CO 81004","0","1","0","Crossroads' Turning Points, Inc. - CIRCLE Program","Medicaid; Self Pay; Sliding Fee Scale","0","8:00AM - 5:00PM","8:00AM - 5:00PM","","","8:00AM - 5:00PM","8:00AM - 5:00PM","8:00AM - 5:00PM","English; Spanish","Outpatient; Day Treatment; Community Mental Health Clinic","","0","(719) 543-8751","HIV; Homeless; LGBTQIA+; Men; Military; Older Adults; Pregnant Person; Women; Offender; Clients referred from Court/Judicial System; American Indian","12/2/2022 8:30 AM","1711 E. Evans_BR_ENCODED_Pueblo, CO 81004","","General Treatment; Education & Treatment Services for Persons in Criminal Justice System; Medically Monitored Intensive Residential Treatment","","www.crossroadstp.org","38.2364885","-104.6151984"
